monthEnd,monthEndIso,type,trkPct,busPct,avgFleet,currentFleet,score,scoreText,convPctText,inspPctText,collPctText,stage
2019 SEP,2019-09-01,TRK,,,10,0,,No Data,,,,
2019 AUG,2019-08-01,TRK,100%,0%,10,16,1.209,1.209,81.5%,9.2%,9.3%,
2019 JUL,2019-07-01,TRK,100%,0%,9,15,1.633,1.633,85.4%,7.0%,7.6%,
2019 JUN,2019-06-01,TRK,100%,0%,9,14,1.637,1.637,85.1%,7.3%,7.6%,
2019 MAY,2019-05-01,TRK,100%,0%,9,13,1.3,1.300,91.9%,8.1%,0.0%,
2019 APR,2019-04-01,TRK,100%,0%,8,12,1.442,1.442,93.2%,6.8%,0.0%,
2019 MAR,2019-03-01,TRK,100%,0%,8,11,0.997,0.997,89.9%,10.1%,0.0%,
2019 FEB,2019-02-01,TRK,100%,0%,8,10,0.773,0.773,87.0%,13.0%,0.0%,
2019 JAN,2019-01-01,TRK,100%,0%,7,10,0.857,0.857,89.6%,10.4%,0.0%,
2018 DEC,2018-12-01,TRK,100%,0%,7,10,0.46,0.460,83.5%,16.5%,0.0%,
2018 NOV,2018-11-01,TRK,100%,0%,7,10,0.046,0.046,0.0%,100.0%,0.0%,
2018 OCT,2018-10-01,TRK,100%,0%,6,10,0.018,0.018,0.0%,100.0%,0.0%,
2018 SEP,2018-09-01,TRK,100%,0%,5,8,0.022,0.022,0.0%,100.0%,0.0%,
2018 AUG,2018-08-01,TRK,100%,0%,5,8,0.027,0.027,0.0%,100.0%,0.0%,
2018 JUL,2018-07-01,TRK,100%,0%,4,7,0.0,0.000,0.0%,0.0%,0.0%,
2018 JUN,2018-06-01,TRK,100%,0%,3,5,0.0,0.000,0.0%,0.0%,0.0%,
2018 MAY,2018-05-01,TRK,100%,0%,3,4,,No Data,,,,
2018 APR,2018-04-01,TRK,100%,0%,2,2,,No Data,,,,
2018 MAR,2018-03-01,TRK,100%,0%,1,1,,No Data,,,,
2018 FEB,2018-02-01,TRK,,,0,0,,No Data,,,,
2018 JAN,2018-01-01,TRK,,,0,0,,No Data,,,,
2017 DEC,2017-12-01,TRK,,,0,0,,No Data,,,,
2017 NOV,2017-11-01,TRK,,,0,0,,No Data,,,,
2017 OCT,2017-10-01,TRK,,,0,0,,No Data,,,,
