seq,date,dateIso,document,jurisdiction,agency,plate,plateJur,level,result
1,2018 DEC 12,2018-12-12,OPI ONEA01273068,ON,,U04031,AB,2,Out of Service
2,2018 NOV 27,2018-11-27,OPI ONEA01263997,ON,,U04031,AB,2,Out of Service
3,2018 NOV 10,2018-11-10,OPI 8628393,BC,,N3759S,ON,2,Out of Service
4,2018 OCT 17,2018-10-17,OPI ONEA01251954,ON,,E77384,AB,2,Passed
5,2018 SEP 25,2018-09-25,OPI ONEA01249644,ON,,E80652,AB,2,Passed
6,2018 AUG 16,2018-08-16,OPI ONEA01237362,ON,,E75062,AB,2,Passed
7,2018 JUN 13,2018-06-13,OPI ONEA01215795,ON,,E65114,AB,2,Passed
8,2018 JUN 05,2018-06-05,OPI ONEA01219694,ON,,E65208,AB,1,Requires Attention
9,2018 JUN 01,2018-06-01,OPI ONEA01211359,ON,,E65114,AB,2,Requires Attention
