code,label,oos,req,total,pctText
1,Driver Credentials,,,,
2,Hours Of Service,,,,
3,Brake Adjustment,,,,
4,Brake Systems,,,,
5,Coupling Devices,,,,
6,Exhaust Systems,,,,
7,Frames,,,,
8,Fuel Systems,,,,
9,Lighting Devices (Part II Section 8 OOSC only),,,,
10,Cargo Securement,,,,
11,Steering Mechanisms,,,,
12,Suspensions,,,,
13,Tires,,,,
14,Van/Open-top Trailer Bodies,,,,
15,"Wheels, Rims & Hubs",,,,
16,Windshield Wipers,,,,
17,Emergency Exits/Wiring & Electrical Systems (Buses),,,,
18,Dangerous Goods,,,,
19,Driveline/Driveshaft,,,,
