monthEnd,monthEndIso,avgFleet,convPtsPerVeh,totalInspections,oosDefPerInsp,totalDefPerInsp,oosPctText,oosPerVeh,failureRate,collPtsPerVeh
2019 SEP,2019-09-01,10,,,,,,,,
2019 AUG,2019-08-01,10,1.1,18,0.4,1.6,44%,0.8,0.514,0.2
2019 JUL,2019-07-01,9,1.55,17,0.4,1.7,47%,0.88,0.529,0.22
2019 JUN,2019-06-01,9,1.55,16,0.5,1.6,50%,0.88,0.547,0.22
2019 MAY,2019-05-01,9,1.33,16,0.4,1.4,43%,0.77,0.484,
2019 APR,2019-04-01,8,1.5,15,0.4,1.4,40%,0.75,0.45,
2019 MAR,2019-03-01,8,1.0,14,0.4,1.2,42%,0.75,0.464,
2019 FEB,2019-02-01,8,0.75,14,0.4,1.2,42%,0.75,0.464,
2019 JAN,2019-01-01,7,0.85,11,0.3,1.1,36%,0.57,0.409,
2018 DEC,2018-12-01,7,0.42,10,0.3,0.8,30%,0.42,0.35,
2018 NOV,2018-11-01,7,,7,0.1,0.5,14%,0.14,0.214,
2018 OCT,2018-10-01,6,,6,0.0,0.5,0%,,0.083,
2018 SEP,2018-09-01,5,,5,0.0,0.6,0%,,0.1,
2018 AUG,2018-08-01,5,,4,0.0,0.7,0%,,0.125,
2018 JUL,2018-07-01,4,,3,0.0,1.0,0%,,0.0,
2018 JUN,2018-06-01,3,,3,0.0,1.0,0%,,0.0,
2018 MAY,2018-05-01,3,,,,,,,,
2018 APR,2018-04-01,2,,,,,,,,
2018 MAR,2018-03-01,1,,,,,,,,
2018 FEB,2018-02-01,0,,,,,,,,
2018 JAN,2018-01-01,0,,,,,,,,
2017 DEC,2017-12-01,0,,,,,,,,
2017 NOV,2017-11-01,0,,,,,,,,
2017 OCT,2017-10-01,0,,,,,,,,
