regi,plate,vehicle,date,type,facility,confirmation,decal,expiry,result
10537552,69124P,2006 FREIGHTLIN,2022-04-20,N&O,,FR66236,,,N&O 2
11081163,68012P,2015 VOLVO,2022-01-05,CVIP,S6903,15934668,FR17405,2022-07-31,Pass (Repair Same Day)
11081163,68012P,2015 VOLVO,2021-06-01,CVIP,S2225,15408411,FP85965,2021-12-31,Pass
11848566,71085P,2016 VOLVO,2021-12-27,CVIP,S15780,15920322,FR38592,2022-06-30,Pass
11848566,71085P,2016 VOLVO,2021-06-25,CVIP,S15780,15476439,FP89266,2021-12-31,Pass
12584392,57354P,2018 FREIGHTLIN,2021-10-18,CVIP,S13560,15758356,FO71439,2022-04-30,Pass
12793166,60145P,2018 VOLVO,2021-10-25,CVIP,S15370,15773773,FO55493,2022-04-30,Pass (Repair Same Day)
13041801,52569P,2020 VOLVO,2021-08-23,CVIP,S4432,15616677,FO31408,2022-02-28,Pass (Repair Same Day)
13155243,60938P,2020 VOLVO,2022-02-17,CVIP,S5708,16037046,FR82453,2022-08-31,Pass (Repair Same Day)
13155243,60938P,2020 VOLVO,2021-08-29,CVIP,S14470,15633171,FO13485,2022-02-28,Pass
13257556,72250P,2020 VOLVO,2021-09-28,CVIP,S3371,15709712,FO61597,2022-03-31,Pass
13322983,57381P,2021 VOLVO,2021-11-22,CVIP,S13920,15844346,FR02012,2022-05-31,Pass
13322983,57381P,2021 VOLVO,2021-05-25,CVIP,S13920,15386940,FP98757,2021-11-30,Pass (Repair Same Day)
13322984,57380P,2021 VOLVO,2021-05-17,CVIP,S14470,15369435,FP33296,2021-11-30,Pass
