month,vd,ad,avg,contra,cvsa,acc,total
2025-03,28308,365,77.56,0.3,0.31,0,0.61
2025-02,28186,365,77.22,0.3,0.31,0.05,0.66
2025-01,28080,366,76.72,0.2,0.23,0.05,0.48
2024-12,27815,366,76,0.17,0.24,0.05,0.46
2024-11,27517,366,75.18,0.17,0.28,0.05,0.5
2024-10,27229,366,74.4,0.16,0.32,0.05,0.53
2024-09,26943,366,73.61,0.22,0.29,0.05,0.56
2024-08,26644,366,72.8,0.34,0.29,0.05,0.68
2024-07,26170,366,71.5,0.39,0.29,0.06,0.74
2024-06,25647,366,70.07,0.37,0.26,0.06,0.69
2024-05,25139,366,68.69,0.39,0.39,0.06,0.84
2024-04,24638,366,67.32,0.45,0.45,0.06,0.96
2024-03,24330,366,66.48,0.45,0.41,0.12,0.98
2024-02,24249,366,66.25,0.63,0.36,0.09,1.08
2024-01,24147,365,66.16,0.73,0.36,0.09,1.18
2023-12,24071,365,65.95,0.83,0.36,0.09,1.28
2023-11,23988,365,65.72,0.88,0.37,0.18,1.43
2023-10,23768,365,65.12,0.81,0.32,0.21,1.34
2023-09,23468,365,64.3,0.89,0.37,0.22,1.48
2023-08,23140,365,63.4,0.87,0.33,0.22,1.42
2023-07,22822,365,62.53,0.83,0.34,0.22,1.39
2023-06,22473,365,61.57,0.8,0.34,0.23,1.37
2023-05,22249,365,60.96,0.85,0.2,0.23,1.28
2023-04,21914,365,60.04,0.98,0.15,0.23,1.36
